latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.138,-78.227,305.7,1,1,2017-04-28,0330,T,65,6.0NRT,292.8,5.7,N
21.136,-78.236,306,1,1,2017-04-28,0330,T,66,6.0NRT,292.7,5.8,N
17.829,-94.666,300.3,3,1.7,2017-04-28,0510,T,14,6.0NRT,284.9,18.4,N
17.567,-100.219,305,1.2,1.1,2017-04-28,0510,T,62,6.0NRT,288.2,9.7,N
17.587,-100.468,303.2,1.2,1.1,2017-04-28,0510,T,54,6.0NRT,284.1,9.3,N
17.607,-100.39,300.5,1.2,1.1,2017-04-28,0510,T,30,6.0NRT,288.5,6.1,N
17.548,-100.849,309.5,1.1,1.1,2017-04-28,0510,T,78,6.0NRT,290.7,10.5,N
17.547,-100.859,326,1.1,1.1,2017-04-28,0510,T,100,6.0NRT,291.6,28.3,N
17.613,-100.493,309.8,1.2,1.1,2017-04-28,0510,T,78,6.0NRT,287.3,13.4,N
17.627,-100.462,303.2,1.2,1.1,2017-04-28,0510,T,54,6.0NRT,286.4,8.3,N
17.643,-100.496,305.6,1.2,1.1,2017-04-28,0510,T,32,6.0NRT,288.3,8.9,N
17.677,-100.312,302.6,1.2,1.1,2017-04-28,0510,T,50,6.0NRT,286,8.9,N
17.665,-100.398,305.2,1.2,1.1,2017-04-28,0510,T,31,6.0NRT,289.9,8.1,N
17.664,-100.407,305.1,1.2,1.1,2017-04-28,0510,T,41,6.0NRT,293,7.7,N
17.687,-100.406,304.2,1.2,1.1,2017-04-28,0510,T,16,6.0NRT,291.9,6.8,N
17.686,-100.415,305.1,1.2,1.1,2017-04-28,0510,T,25,6.0NRT,293.5,7.2,N
17.712,-100.285,307.5,1.2,1.1,2017-04-28,0510,T,72,6.0NRT,291.4,10.2,N
17.697,-100.922,301.4,1.1,1.1,2017-04-28,0510,T,41,6.0NRT,284.5,7.2,N
17.706,-100.971,300.8,1.1,1.1,2017-04-28,0510,T,33,6.0NRT,285,7.3,N
17.785,-100.66,306.7,1.2,1.1,2017-04-28,0510,T,69,6.0NRT,289.7,9.3,N
17.784,-100.671,304.1,1.2,1.1,2017-04-28,0510,T,38,6.0NRT,288.9,7,N
17.795,-100.661,305.2,1.2,1.1,2017-04-28,0510,T,31,6.0NRT,289.9,7.6,N
17.759,-100.928,306.1,1.1,1.1,2017-04-28,0510,T,67,6.0NRT,285.5,10.8,N
17.776,-100.876,301.4,1.1,1.1,2017-04-28,0510,T,29,6.0NRT,287.8,6.2,N
17.809,-100.887,302.1,1.1,1.1,2017-04-28,0510,T,46,6.0NRT,288.1,7.4,N
17.862,-100.697,311.5,1.2,1.1,2017-04-28,0510,T,83,6.0NRT,293.7,12,N
17.858,-100.732,306.7,1.1,1.1,2017-04-28,0510,T,35,6.0NRT,289.2,8.7,N
17.872,-100.697,308.4,1.2,1.1,2017-04-28,0510,T,74,6.0NRT,293.1,9.5,N
17.886,-100.735,304.9,1.1,1.1,2017-04-28,0510,T,46,6.0NRT,289.5,7.5,N
17.896,-101.064,304.7,1.1,1.1,2017-04-28,0510,T,61,6.0NRT,275,10.8,N
17.933,-101.007,312,1.1,1.1,2017-04-28,0510,T,84,6.0NRT,287.6,13.8,N
18.152,-100.811,302.9,1.1,1.1,2017-04-28,0510,T,26,6.0NRT,288.6,5.9,N
18.147,-100.994,302.8,1.1,1.1,2017-04-28,0510,T,17,6.0NRT,289.4,5,N
18.151,-101.001,304.4,1.1,1.1,2017-04-28,0510,T,60,6.0NRT,288.5,5.9,N
18.356,-102.692,301.7,1,1,2017-04-28,0510,T,43,6.0NRT,290,4.7,N
18.866,-100.338,310.3,1.2,1.1,2017-04-28,0510,T,80,6.0NRT,277.6,17.9,N
19.051,-100.163,306,1.3,1.1,2017-04-28,0510,T,27,6.0NRT,284.1,11.4,N
19.064,-100.143,310.3,1.3,1.1,2017-04-28,0510,T,55,6.0NRT,282.8,16,N
